state_abbv,county,state_name,country,county_state,Date,Confirmed,Deaths,Recovered
AK,Ketchikan Gateway Borough,Alaska,US,"Ketchikan Gateway Borough, AK",3/29/2020,12,0,0
AK,Kodiak Island Borough,Alaska,US,"Kodiak Island Borough, AK",3/29/2020,0,0,0
AK,Kusilvak Census Area,Alaska,US,"Kusilvak Census Area, AK",3/29/2020,0,0,0
AK,Lake and Peninsula Borough,Alaska,US,"Lake and Peninsula Borough, AK",3/29/2020,0,0,0
AK,Matanuska-Susitna Borough,Alaska,US,"Matanuska-Susitna Borough, AK",3/29/2020,2,0,0
AK,Nome Census Area,Alaska,US,"Nome Census Area, AK",3/29/2020,0,0,0
AK,North Slope Borough,Alaska,US,"North Slope Borough, AK",3/29/2020,0,0,0
AK,Northwest Arctic Borough,Alaska,US,"Northwest Arctic Borough, AK",3/29/2020,0,0,0
AK,Petersburg Census Area,Alaska,US,"Petersburg Census Area, AK",3/29/2020,0,1,0
AK,Prince of Wales-Hyder Census Area,Alaska,US,"Prince of Wales-Hyder Census Area, AK",3/29/2020,0,0,0
AK,Sitka City and Borough,Alaska,US,"Sitka City and Borough, AK",3/29/2020,0,0,0
AK,Skagway Municipality,Alaska,US,"Skagway Municipality, AK",3/29/2020,0,0,0
AK,Southeast Fairbanks Census Area,Alaska,US,"Southeast Fairbanks Census Area, AK",3/29/2020,0,0,0
AK,Valdez-Cordova Census Area,Alaska,US,"Valdez-Cordova Census Area, AK",3/29/2020,0,0,0
AK,Wrangell City and Borough,Alaska,US,"Wrangell City and Borough, AK",3/29/2020,0,0,0
AK,Yakutat City and Borough,Alaska,US,"Yakutat City and Borough, AK",3/29/2020,0,0,0
AK,Yukon-Koyukuk Census Area,Alaska,US,"Yukon-Koyukuk Census Area, AK",3/29/2020,0,0,0
Arizona,Aaall,Arizona,US,Arizona,3/29/2020,919,17,0
AZ,Apache,Arizona,US,"Apache, AZ",3/29/2020,13,0,0
AZ,Cochise,Arizona,US,"Cochise, AZ",3/29/2020,3,0,0
AZ,Coconino,Arizona,US,"Coconino, AZ",3/29/2020,62,1,0
AZ,Gila,Arizona,US,"Gila, AZ",3/29/2020,1,0,0
AZ,Graham,Arizona,US,"Graham, AZ",3/29/2020,2,0,0
AZ,Greenlee,Arizona,US,"Greenlee, AZ",3/29/2020,0,0,0
AZ,La Paz,Arizona,US,"La Paz, AZ",3/29/2020,2,0,0
AZ,Maricopa,Arizona,US,"Maricopa, AZ",3/29/2020,545,5,0
AZ,Mohave,Arizona,US,"Mohave, AZ",3/29/2020,6,0,0
AZ,Navajo,Arizona,US,"Navajo, AZ",3/29/2020,62,1,0
AZ,Pima,Arizona,US,"Pima, AZ",3/29/2020,153,5,0
AZ,Pinal,Arizona,US,"Pinal, AZ",3/29/2020,51,0,0
AZ,Santa Cruz,Arizona,US,"Santa Cruz, AZ",3/29/2020,2,0,0
AZ,Yavapai,Arizona,US,"Yavapai, AZ",3/29/2020,12,0,0
AZ,Yuma,Arizona,US,"Yuma, AZ",3/29/2020,5,0,0
Arkansas,Aaall,Arkansas,US,Arkansas,3/29/2020,404,6,28
AR,Arkansas,Arkansas,US,"Arkansas, AR",3/29/2020,0,0,0
AR,Ashley,Arkansas,US,"Ashley, AR",3/29/2020,1,0,0
AR,Baxter,Arkansas,US,"Baxter, AR",3/29/2020,1,0,0
AR,Benton,Arkansas,US,"Benton, AR",3/29/2020,31,0,0
AR,Boone,Arkansas,US,"Boone, AR",3/29/2020,4,0,0
AR,Bradley,Arkansas,US,"Bradley, AR",3/29/2020,4,0,0
AR,Calhoun,Arkansas,US,"Calhoun, AR",3/29/2020,0,0,0
AR,Carroll,Arkansas,US,"Carroll, AR",3/29/2020,0,0,0
AR,Chicot,Arkansas,US,"Chicot, AR",3/29/2020,4,0,0
AR,Clark,Arkansas,US,"Clark, AR",3/29/2020,17,0,0
AR,Clay,Arkansas,US,"Clay, AR",3/29/2020,0,0,0
AR,Cleburne,Arkansas,US,"Cleburne, AR",3/29/2020,50,2,0
AR,Cleveland,Arkansas,US,"Cleveland, AR",3/29/2020,5,0,0
AR,Columbia,Arkansas,US,"Columbia, AR",3/29/2020,4,0,0
AR,Conway,Arkansas,US,"Conway, AR",3/29/2020,4,0,0
