"state_abbv","county","state_name","country","county_state","Date","Confirmed","Deaths","Recovered"
"AK","Ketchikan Gateway Borough","Alaska","US","Ketchikan Gateway Borough, AK",2020-03-21,3,0,0
"AK","Kodiak Island Borough","Alaska","US","Kodiak Island Borough, AK",2020-03-21,0,0,0
"AK","Kusilvak Census Area","Alaska","US","Kusilvak Census Area, AK",2020-03-21,0,0,0
"AK","Lake and Peninsula Borough","Alaska","US","Lake and Peninsula Borough, AK",2020-03-21,0,0,0
"AK","Matanuska-Susitna Borough","Alaska","US","Matanuska-Susitna Borough, AK",2020-03-21,0,0,0
"AK","Nome Census Area","Alaska","US","Nome Census Area, AK",2020-03-21,0,0,0
"AK","North Slope Borough","Alaska","US","North Slope Borough, AK",2020-03-21,0,0,0
"AK","Northwest Arctic Borough","Alaska","US","Northwest Arctic Borough, AK",2020-03-21,0,0,0
"AK","Petersburg Census Area","Alaska","US","Petersburg Census Area, AK",2020-03-21,0,0,0
"AK","Prince of Wales-Hyder Census Area","Alaska","US","Prince of Wales-Hyder Census Area, AK",2020-03-21,0,0,0
"AK","Sitka City and Borough","Alaska","US","Sitka City and Borough, AK",2020-03-21,0,0,0
"AK","Skagway Municipality","Alaska","US","Skagway Municipality, AK",2020-03-21,0,0,0
"AK","Southeast Fairbanks Census Area","Alaska","US","Southeast Fairbanks Census Area, AK",2020-03-21,0,0,0
"AK","Valdez-Cordova Census Area","Alaska","US","Valdez-Cordova Census Area, AK",2020-03-21,0,0,0
"AK","Wrangell City and Borough","Alaska","US","Wrangell City and Borough, AK",2020-03-21,0,0,0
"AK","Yakutat City and Borough","Alaska","US","Yakutat City and Borough, AK",2020-03-21,0,0,0
"AK","Yukon-Koyukuk Census Area","Alaska","US","Yukon-Koyukuk Census Area, AK",2020-03-21,0,0,0
"Arizona","Aaall","Arizona","US","Arizona",2020-03-21,104,1,0
"AZ","Apache","Arizona","US","Apache, AZ",2020-03-21,3,0,0
"AZ","Cochise","Arizona","US","Cochise, AZ",2020-03-21,1,0,0
"AZ","Coconino","Arizona","US","Coconino, AZ",2020-03-21,11,0,0
"AZ","Gila","Arizona","US","Gila, AZ",2020-03-21,0,0,0
"AZ","Graham","Arizona","US","Graham, AZ",2020-03-21,1,0,0
"AZ","Greenlee","Arizona","US","Greenlee, AZ",2020-03-21,0,0,0
"AZ","La Paz","Arizona","US","La Paz, AZ",2020-03-21,0,0,0
"AZ","Maricopa","Arizona","US","Maricopa, AZ",2020-03-21,49,0,0
"AZ","Mohave","Arizona","US","Mohave, AZ",2020-03-21,0,0,0
"AZ","Navajo","Arizona","US","Navajo, AZ",2020-03-21,10,0,0
"AZ","Pima","Arizona","US","Pima, AZ",2020-03-21,12,0,0
"AZ","Pinal","Arizona","US","Pinal, AZ",2020-03-21,14,0,0
"AZ","Santa Cruz","Arizona","US","Santa Cruz, AZ",2020-03-21,1,0,0
"AZ","Yavapai","Arizona","US","Yavapai, AZ",2020-03-21,1,0,0
"AZ","Yuma","Arizona","US","Yuma, AZ",2020-03-21,1,0,0
"Arkansas","Aaall","Arkansas","US","Arkansas",2020-03-21,118,0,0
"AR","Arkansas","Arkansas","US","Arkansas, AR",2020-03-21,0,0,0
"AR","Ashley","Arkansas","US","Ashley, AR",2020-03-21,0,0,0
"AR","Baxter","Arkansas","US","Baxter, AR",2020-03-21,0,0,0
"AR","Benton","Arkansas","US","Benton, AR",2020-03-21,1,0,0
