state_abbv,county,state_name,country,county_state,Date,Confirmed,Deaths,Recovered
Alabama,Aaall,Alabama,US,Alabama,4/1/2020,1060,26,1
AL,Autauga,Alabama,US,"Autauga, AL",4/1/2020,8,0,0
AL,Baldwin,Alabama,US,"Baldwin, AL",4/1/2020,20,0,0
AL,Barbour,Alabama,US,"Barbour, AL",4/1/2020,0,0,0
AL,Bibb,Alabama,US,"Bibb, AL",4/1/2020,3,0,0
AL,Blount,Alabama,US,"Blount, AL",4/1/2020,5,0,0
AL,Bullock,Alabama,US,"Bullock, AL",4/1/2020,3,0,0
AL,Butler,Alabama,US,"Butler, AL",4/1/2020,1,0,0
AL,Calhoun,Alabama,US,"Calhoun, AL",4/1/2020,11,0,0
AL,Chambers,Alabama,US,"Chambers, AL",4/1/2020,42,4,0
AL,Cherokee,Alabama,US,"Cherokee, AL",4/1/2020,2,0,0
AL,Chilton,Alabama,US,"Chilton, AL",4/1/2020,13,0,0
AL,Choctaw,Alabama,US,"Choctaw, AL",4/1/2020,4,0,0
AL,Clarke,Alabama,US,"Clarke, AL",4/1/2020,0,0,0
AL,Clay,Alabama,US,"Clay, AL",4/1/2020,2,0,0
AL,Cleburne,Alabama,US,"Cleburne, AL",4/1/2020,6,0,0
AL,Coffee,Alabama,US,"Coffee, AL",4/1/2020,0,0,0
AL,Colbert,Alabama,US,"Colbert, AL",4/1/2020,4,0,0
AL,Conecuh,Alabama,US,"Conecuh, AL",4/1/2020,0,0,0
AL,Coosa,Alabama,US,"Coosa, AL",4/1/2020,4,0,0
AL,Covington,Alabama,US,"Covington, AL",4/1/2020,3,0,0
AL,Crenshaw,Alabama,US,"Crenshaw, AL",4/1/2020,1,0,0
AL,Cullman,Alabama,US,"Cullman, AL",4/1/2020,9,1,0
AL,Dale,Alabama,US,"Dale, AL",4/1/2020,0,0,0
AL,Dallas,Alabama,US,"Dallas, AL",4/1/2020,2,0,0
AL,DeKalb,Alabama,US,"DeKalb, AL",4/1/2020,5,0,0
